V1,V2,V3
359.575,-10.5154,-5440
359.5916,-10.5154,-5460
359.6083,-10.5154,-5488
359.625,-10.5154,-5514
359.6416,-10.5154,-5526
359.6583,-10.5154,-5524
359.675,-10.5154,-5504
359.6917,-10.5154,-5468
359.7083,-10.5154,-5422
359.725,-10.5154,-5366
359.7416,-10.5154,-5320
359.7583,-10.5154,-5326
359.775,-10.5154,-5356
359.7917,-10.5154,-5400
359.8083,-10.5154,-5452
359.825,-10.5154,-5508
359.8416,-10.5154,-5558
359.8583,-10.5154,-5596
359.875,-10.5154,-5616
359.8916,-10.5154,-5612
359.9083,-10.5154,-5588
359.925,-10.5154,-5558
359.9417,-10.5154,-5524
359.9583,-10.5154,-5502
359.975,-10.5154,-5503
359.9916,-10.5154,-5537
359.5083,-10.5318,-5546
359.525,-10.5318,-5486
359.5417,-10.5318,-5452
359.5583,-10.5318,-5432
359.575,-10.5318,-5432
359.5916,-10.5318,-5460
359.6083,-10.5318,-5500
359.625,-10.5318,-5532
359.6416,-10.5318,-5550
359.6583,-10.5318,-5550
359.675,-10.5318,-5532
359.6917,-10.5318,-5496
359.7083,-10.5318,-5448
359.725,-10.5318,-5394
359.7416,-10.5318,-5331
359.7583,-10.5318,-5362
359.775,-10.5318,-5402
359.7917,-10.5318,-5448
359.8083,-10.5318,-5490
359.825,-10.5318,-5536
359.8416,-10.5318,-5574
359.8583,-10.5318,-5598
359.875,-10.5318,-5610
359.8916,-10.5318,-5606
359.9083,-10.5318,-5576
359.925,-10.5318,-5558
359.9417,-10.5318,-5545
359.9583,-10.5318,-5543
359.975,-10.5318,-5595
359.9916,-10.5318,-5553
359.5083,-10.5481,-5544
359.525,-10.5481,-5492
359.5417,-10.5481,-5464
359.5583,-10.5481,-5442
359.575,-10.5481,-5422
359.5916,-10.5481,-5462
359.6083,-10.5481,-5512
359.625,-10.5481,-5546
359.6416,-10.5481,-5564
359.6583,-10.5481,-5566
359.675,-10.5481,-5552
359.6917,-10.5481,-5524
359.7083,-10.5481,-5490
359.725,-10.5481,-5472
359.7416,-10.5481,-5448
359.7583,-10.5481,-5456
359.775,-10.5481,-5474
359.7917,-10.5481,-5502
359.8083,-10.5481,-5526
359.825,-10.5481,-5558
359.8416,-10.5481,-5583
359.8583,-10.5481,-5599
359.875,-10.5481,-5605
359.8916,-10.5481,-5605
359.9083,-10.5481,-5565
359.925,-10.5481,-5567
359.9417,-10.5481,-5595
359.9583,-10.5481,-5587
359.975,-10.5481,-5594
359.9916,-10.5481,-5580
359.5083,-10.5645,-5538
359.525,-10.5645,-5496
359.5417,-10.5645,-5494
359.5583,-10.5645,-5466
359.575,-10.5645,-5394
359.5916,-10.5645,-5460
359.6083,-10.5645,-5518
359.625,-10.5645,-5550
359.6416,-10.5645,-5558
359.6583,-10.5645,-5556
359.675,-10.5645,-5548
359.6917,-10.5645,-5532
359.7083,-10.5645,-5503
359.725,-10.5645,-5537
359.7416,-10.5645,-5549
359.7583,-10.5645,-5541
359.775,-10.5645,-5537
359.7917,-10.5645,-5553
359.8083,-10.5645,-5553
359.825,-10.5645,-5573
359.8416,-10.5645,-5573
359.8583,-10.5645,-5596
359.875,-10.5645,-5603
359.8916,-10.5645,-5592
359.9083,-10.5645,-5568
359.925,-10.5645,-5566
359.9417,-10.5645,-5578
359.9583,-10.5645,-5580
359.975,-10.5645,-5582
359.9916,-10.5645,-5584
359.5083,-10.5809,-5528
359.525,-10.5809,-5493
359.5417,-10.5809,-5535
359.5583,-10.5809,-5511
359.575,-10.5809,-5331
359.5916,-10.5809,-5463
359.6083,-10.5809,-5519
359.625,-10.5809,-5533
359.6416,-10.5809,-5521
359.6583,-10.5809,-5507
359.675,-10.5809,-5499
359.6917,-10.5809,-5493
359.7083,-10.5809,-5432
359.725,-10.5809,-5476
359.7416,-10.5809,-5522
359.7583,-10.5809,-5546
359.775,-10.5809,-5552
359.7917,-10.5809,-5556
359.8083,-10.5809,-5560
359.825,-10.5809,-5576
359.8416,-10.5809,-5591
359.8583,-10.5809,-5605
359.875,-10.5809,-5598
359.8916,-10.5809,-5586
359.9083,-10.5809,-5570
359.925,-10.5809,-5564
359.9417,-10.5809,-5564
359.9583,-10.5809,-5564
359.975,-10.5809,-5568
359.9916,-10.5809,-5576
359.5083,-10.5973,-5533
359.525,-10.5973,-5512
359.5417,-10.5973,-5518
359.5583,-10.5973,-5482
359.575,-10.5973,-5394
359.5916,-10.5973,-5434
359.6083,-10.5973,-5466
359.625,-10.5973,-5470
359.6416,-10.5973,-5452
359.6583,-10.5973,-5422
359.675,-10.5973,-5392
359.6917,-10.5973,-5352
359.7083,-10.5973,-5295
359.725,-10.5973,-5398
359.7416,-10.5973,-5486
359.7583,-10.5973,-5534
359.775,-10.5973,-5548
359.7917,-10.5973,-5543
359.8083,-10.5973,-5547
359.825,-10.5973,-5565
359.8416,-10.5973,-5580
359.8583,-10.5973,-5590
359.875,-10.5973,-5586
359.8916,-10.5973,-5578
359.9083,-10.5973,-5566
359.925,-10.5973,-5560
359.9417,-10.5973,-5554
359.9583,-10.5973,-5552
359.975,-10.5973,-5554
359.9916,-10.5973,-5564
359.5083,-10.6137,-5530
359.525,-10.6137,-5518
359.5417,-10.6137,-5508
359.5583,-10.6137,-5474
359.575,-10.6137,-5424
359.5916,-10.6137,-5418
359.6083,-10.6137,-5418
359.625,-10.6137,-5406
359.6416,-10.6137,-5380
359.6583,-10.6137,-5342
359.675,-10.6137,-5304
359.6917,-10.6137,-5292
359.7083,-10.6137,-5322
359.725,-10.6137,-5416
359.7416,-10.6137,-5496
359.7583,-10.6137,-5538
359.775,-10.6137,-5555
359.7917,-10.6137,-5537
359.8083,-10.6137,-5542
359.825,-10.6137,-5550
359.8416,-10.6137,-5562
359.8583,-10.6137,-5568
359.875,-10.6137,-5568
359.8916,-10.6137,-5566
